2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:41,734 - INFO - IDEXUSDT has been tested. win rate: 0.547945205479452, trade count: 292
2024-09-02 11:15:41,869 - INFO - IDUSDT has been tested. win rate: 0.625, trade count: 8
2024-09-02 11:15:41,999 - INFO - IMXUSDT has been tested. win rate: 0.4482758620689655, trade count: 29
2024-09-02 11:15:42,131 - INFO - IOTAUSDT has been tested. win rate: 0.6666666666666666, trade count: 6
2024-09-02 11:15:42,262 - INFO - IOTXUSDT has been tested. win rate: 0.4, trade count: 20
2024-09-02 11:15:42,394 - INFO - IOUSDT has been tested. win rate: 0.3225806451612903, trade count: 31
2024-09-02 11:15:42,529 - INFO - JASMYUSDT has been tested. win rate: 0.6666666666666666, trade count: 15
2024-09-02 11:15:42,662 - INFO - JOEUSDT has been tested. win rate: 0.5, trade count: 14
2024-09-02 11:15:42,795 - INFO - JSTUSDT has been tested. win rate: 0.75, trade count: 4
2024-09-02 11:15:42,926 - INFO - JTOUSDT has been tested. win rate: 0.5238095238095238, trade count: 21
2024-09-02 11:15:43,060 - INFO - JUPUSDT has been tested. win rate: 0.625, trade count: 8
2024-09-02 11:15:43,189 - INFO - KASUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:43,322 - INFO - KAVAUSDT has been tested. win rate: 0.4444444444444444, trade count: 9
2024-09-02 11:15:43,454 - INFO - KDAUSDT has been tested. win rate: 0.5277777777777778, trade count: 72
2024-09-02 11:15:43,585 - INFO - KLAYUSDT has been tested. win rate: 0.6296296296296297, trade count: 27
2024-09-02 11:15:43,717 - INFO - KNCUSDT has been tested. win rate: 0.5, trade count: 6
2024-09-02 11:15:43,844 - INFO - L3USDT has been tested. win rate: 0.6493506493506493, trade count: 154
2024-09-02 11:15:43,972 - INFO - LDOUSDT has been tested. win rate: 0.5833333333333334, trade count: 12
2024-09-02 11:15:44,104 - INFO - LISTAUSDT has been tested. win rate: 0.6521739130434783, trade count: 23
2024-09-02 11:15:44,233 - INFO - LITUSDT has been tested. win rate: 0.5652173913043478, trade count: 23
2024-09-02 11:15:44,364 - INFO - LOOKSUSDT has been tested. win rate: 0.48148148148148145, trade count: 54
2024-09-02 11:15:44,499 - INFO - LOOMUSDT has been tested. win rate: 0.6666666666666666, trade count: 3
2024-09-02 11:15:44,635 - INFO - LQTYUSDT has been tested. win rate: 0.6896551724137931, trade count: 29
2024-09-02 11:15:44,787 - INFO - LRCUSDT has been tested. win rate: 0.6666666666666666, trade count: 6
2024-09-02 11:15:44,919 - INFO - LSKUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:45,050 - INFO - LTOUSDT has been tested. win rate: 0.6756756756756757, trade count: 37
2024-09-02 11:15:45,187 - INFO - LUNA2USDT has been tested. win rate: 0.6153846153846154, trade count: 26
2024-09-02 11:15:45,317 - INFO - MAGICUSDT has been tested. win rate: 0.5, trade count: 10
2024-09-02 11:15:45,456 - INFO - MANAUSDT has been tested. win rate: 0.5, trade count: 6
2024-09-02 11:15:45,588 - INFO - MANTAUSDT has been tested. win rate: 0.5714285714285714, trade count: 14
2024-09-02 11:15:45,720 - INFO - MASAUSDT has been tested. win rate: 0.5652173913043478, trade count: 115
2024-09-02 11:15:45,849 - INFO - MASKUSDT has been tested. win rate: 0.8, trade count: 5
2024-09-02 11:15:45,982 - INFO - MATICUSDT has been tested. win rate: 0.25, trade count: 4
2024-09-02 11:15:46,114 - INFO - MAVIAUSDT has been tested. win rate: 0.42105263157894735, trade count: 19
2024-09-02 11:15:46,245 - INFO - MAVUSDT has been tested. win rate: 0.34615384615384615, trade count: 26
2024-09-02 11:15:46,375 - INFO - MAXUSDT has been tested. win rate: 0.65625, trade count: 32
2024-09-02 11:15:46,512 - INFO - MBOXUSDT has been tested. win rate: 0.5802469135802469, trade count: 162
2024-09-02 11:15:46,649 - INFO - MDTUSDT has been tested. win rate: 0.5945945945945946, trade count: 37
2024-09-02 11:15:46,783 - INFO - MEMEUSDT has been tested. win rate: 0.7, trade count: 10
2024-09-02 11:15:46,913 - INFO - MERLUSDT has been tested. win rate: 0.575, trade count: 40
2024-09-02 11:15:47,048 - INFO - MINAUSDT has been tested. win rate: 0.5384615384615384, trade count: 13
2024-09-02 11:15:47,191 - INFO - MKRUSDT has been tested. win rate: 0.4444444444444444, trade count: 9
2024-09-02 11:15:47,325 - INFO - MNTUSDT has been tested. win rate: 0.8, trade count: 5
2024-09-02 11:15:47,454 - INFO - MOCAUSDT has been tested. win rate: 0.6, trade count: 10
2024-09-02 11:15:47,589 - INFO - MONUSDT has been tested. win rate: 0.5666666666666667, trade count: 30
2024-09-02 11:15:47,718 - INFO - MOTHERUSDT has been tested. win rate: 0.6282051282051282, trade count: 78
2024-09-02 11:15:47,850 - INFO - MTLUSDT has been tested. win rate: 0.75, trade count: 4
2024-09-02 11:15:47,981 - INFO - NEARUSDT has been tested. win rate: 0.4, trade count: 20
2024-09-02 11:15:48,115 - INFO - NFPUSDT has been tested. win rate: 0.2222222222222222, trade count: 9
2024-09-02 11:15:48,243 - INFO - NKNUSDT has been tested. win rate: 0.6428571428571429, trade count: 14
2024-09-02 11:15:48,376 - INFO - NTRNUSDT has been tested. win rate: 0.6, trade count: 10
2024-09-02 11:15:48,507 - INFO - NYANUSDT has been tested. win rate: 0.6842105263157895, trade count: 95
2024-09-02 11:15:48,637 - INFO - OGUSDT has been tested. win rate: 0.6132075471698113, trade count: 106
2024-09-02 11:15:48,772 - INFO - OMGUSDT has been tested. win rate: 0.6363636363636364, trade count: 11
2024-09-02 11:15:48,906 - INFO - OMUSDT has been tested. win rate: 0.5714285714285714, trade count: 14
2024-09-02 11:15:49,040 - INFO - ONDOUSDT has been tested. win rate: 0.75, trade count: 8
2024-09-02 11:15:49,174 - INFO - ONGUSDT has been tested. win rate: 0.6666666666666666, trade count: 6
2024-09-02 11:15:49,305 - INFO - ONTUSDT has been tested. win rate: 0.625, trade count: 8
